,Номер,Код биржи,Выставлена (время),Период,Инструмент,Операция,Счет,Цена,Кол-во,Видимое кол-во,Остаток,Объем,Комментарий,Состояние,Объем второй части,
1,84 141 467 824,167789,6:50:38,Открытие,sГТЛК2P-14 [МБ ФР: Т+: Облигации],Купля,L01-00000F00,99,25,43,,0,42 677,50,S04J3LB//6527782,Исполнена,,
2,84 187 756 831,45429343,21:15:33,Нормальный,Татнфт 3ао [МБ ФР: Т+ Акции и ДР],Продажа,L01-00000F00,611,6,5,,0,3 058,00,S04J3LB//,Исполнена,,
3,84 187 853 283,45523409,21:20:24,Нормальный,sГТЛК2P-14 [МБ ФР: Т+: Облигации],Купля,L01-00000F00,99,25,3,,3,2 977,50,S04J3LB//6548028,Активна,,
